S.No,Axial RMS Acceleration(m/sec2),Axial RMS Velocity(mm/sec),Horizontal RMS Acceleration(m/sec2),Horizontal RMS Velocity(mm/sec),Vertical RMS Acceleration(m/sec2),Vertical RMS Velocity(mm/sec),Noise (db),Temperature (degC),Current(A)
1,18.746,8.819,9.539,4.921,10.78,11.522,99.356,53.216,7.3
2,18.291,8.9035,10.29,6.1245,10.2645,12.1855,101.872,53.216,7.27
3,17.637,7.323,9.321,5.849,9.044,11.579,101.169,53.223,7.34
4,19.614,N/A,10.711,5.806,11.478,12.27,N/A,53.231,7.23
5,18.823,7.261,10.4575,5.6755,10.6025,11.7905,100.749,53.231,7.34
6,18.146,7.758,11.539,4.99,10.072,10.812,102.196,53.247,7.32
7,17.7695,6.6705,10.2905,5.549,10.4295,11.364,98.638,53.255,7.4
8,20.026,9.168,9.747,6.573,11.826,N/A,99.73,53.255,N/A
9,22.543,8.488,10.608,5.473,11.84,10.851,101.27,53.263,7.3
10,18.7025,7.415,11.0975,5.551,10.736,11.1625,98.644,53.263,7.4
11,19.484,8.824,10.269,5.35,12.39,12.302,99.506,53.27,7.46
12,21.373,9.266,N/A,N/A,10.867,N/A,99.911,53.278,7.21
13,18.0625,7.0555,10.6135,5.325,10.506,11.5115,101.937,53.286,7.02
14,N/A,7.714,10.682,5.333,10.319,11.615,102.639,53.286,7.28
15,17.626,7.966,10.0245,5.0205,9.7225,11.639,101.692,53.294,7.54
16,18.464,9.129,11.933,4.969,10.877,10.428,100.463,53.302,7.43
17,18.417,7.207,9.599,4.413,10.022,10.101,99.461,53.302,7.45
18,17.098,7.6195,9.4715,5.093,10.269,10.612,98.35,53.309,7.24
19,17.812,7.508,9.714,4.597,10.052,11.032,100.791,53.317,7.34
20,18.856,8.11,10.681,5.168,11.29,10.388,N/A,53.317,7.32
21,18.518,6.919,10.78,6.0915,10.9165,11.4825,101.316,53.325,7.4
22,18.613,6.936,10.092,5.909,11.207,11.073,100.863,53.317,N/A
23,17.8415,7.7055,10.311,N/A,10.0065,10.663,98.675,53.317,7.3
24,16.84,6.994,9.183,5.183,10.236,10.09,103.086,53.325,7.4
25,16.954,8.053,9.102,4.932,10.088,10.713,101.308,53.325,7.46
26,19.051,8.1795,10.102,5.223,10.2855,10.98,101.584,53.325,7.24
27,18.592,7.255,9.924,5.269,11.167,11.629,97.903,53.317,7.34
28,18.1135,9.043,9.85,5.883,10.288,11.9,99.329,53.317,7.32
29,17.573,7.799,9.121,5.409,10.03,11.429,100.044,53.302,7.4
30,19.135,7.989,10.268,4.963,10.973,10.509,101.051,53.302,7.54
31,20.874,8.7875,10.5505,5.8275,10.7,11.155,99.304,53.302,7.72
32,18.707,10.556,9.203,5.238,11.138,11.593,98.233,53.302,7.4
33,18.09,7.245,9.171,5.083,9.796,10.154,101.448,53.309,7.46
34,18.249,8.616,9.298,5.1005,9.867,11.2715,99.285,53.302,7.24
35,17.597,7.061,9.259,5.648,9.812,10.775,102.031,53.294,7.12
36,18.9025,7.313,10.6315,5.7485,11.2275,11.268,100.083,53.294,7.28
37,17.348,7.924,9.666,5.324,9.701,10.814,100.445,53.27,7.45
38,20.747,8.568,10.461,5.346,11.897,12.003,101.375,53.263,7.43
39,18.0935,7.2875,9.3625,5.7215,11.022,11.874,98,53.255,7.45
40,18.917,8.528,10.559,7.789,10.729,12.887,99.263,53.255,7.24
41,17.751,8.791,10.0935,5.528,10.3715,10.9115,101.589,53.247,7.45
42,17.933,6.943,9.708,4.471,10.99,11.087,101.982,53.239,7.32
43,19.753,7.956,10.304,5.892,11.326,11.796,99.711,53.216,7.4
44,19.9285,7.124,9.9895,5.653,10.085,10.865,98.844,53.192,7.54
45,16.831,6.398,9.912,6.327,10.54,12.404,100.361,53.153,7.3
46,17.842,8.079,10.03,5.7115,10.527,12.1665,101.495,53.138,7.4
47,17.787,7.806,9.718,5.419,10.159,11.246,98.458,53.098,7.46
48,19.217,8.467,10.717,5.825,10.677,12.871,98.1,53.067,7.24
49,18.34,7.2125,10.3295,5.356,10.2625,11.037,98.327,53.044,7.34
50,17.203,5.997,11.348,6.687,11.165,14.611,99.412,53.013,7.32
51,18.082,7.233,9.871,5.484,11.004,11.172,100.355,52.981,7.4
52,18.179,7.497,10.2355,5.4725,11.029,11.4755,103.674,52.942,7.24
53,17.704,8.081,10.765,4.696,10.006,10.542,96.936,52.911,7.3
54,20.611,8.915,11.532,6.928,11.501,16.598,99.275,52.872,7.123
55,18.6405,8.6685,10.7815,5.716,10.533,13.2195,100.103,52.825,7.45
56,17.698,8.11,10.914,4.976,10.04,11.982,100.785,52.786,7.32
57,17.446,7.8975,10.3975,6.215,10.4125,12.8815,98.498,52.747,7.4
58,18.129,6.984,10.263,5.719,9.925,11.634,98.746,52.716,7.54
59,19.4855,7.47,10.144,6.126,10.4475,12.2735,96.654,52.684,7.3
60,19.535,7.657,9.936,4.317,11.163,10.593,100.635,52.645,7.4
61,18.162,8.149,10.419,5.066,9.848,9.312,98.336,52.622,7.46
62,17.824,6.964,10.6785,5.962,10.7495,11.6275,98.323,52.591,7.24
63,19.774,7.697,9.859,6.164,11.85,12.479,100.938,52.575,7.82
64,18.486,8.199,10.042,4.982,9.741,11.462,98.047,52.559,7.34
65,19.4665,7.8025,10.43,5.4,11.499,11.3185,101.778,52.528,7.35
66,18.782,7.844,10.596,6.021,9.977,12.822,101.869,52.513,7.53
67,19.0145,7.502,10.312,6.139,11.1495,12.83,100.594,52.497,7.8
68,20.628,7.509,11.356,5.951,10.957,12.451,99.949,52.489,7.43
69,18.37,7.036,9.515,5.678,10.479,10.464,101.349,52.473,7.45
70,18.3785,6.993,9.9145,5.502,10.461,11.244,96.902,54.2,7.54
71,18.563,6.897,9.542,5.302,10.114,12.065,101.812,54.4,7.3
72,18.651,7.285,9.63,5.6735,10.466,11.017,99.694,54.3,7.4
73,19.596,7.555,9.691,5.52,10.561,10.457,101.593,54.3,7.46
74,18.433,7.36,10.615,5.674,10.338,13.012,100.77,54.6,7.24
75,17.7895,7.437,10.4535,5.471,10.3805,10.3065,97.613,53.7,7.82
76,18.998,7.934,10.248,4.965,10.412,11.543,102.793,54.5,7.34
77,17.723,7.38,10.139,6.274,10.431,11.797,100.267,53.7,7.35
78,18.495,8.3735,10.4945,5.8715,10.5205,11.8995,101.69,54.8,7.53
79,17.327,7.586,10.151,5.336,9.753,13.802,99.849,55,7.8
80,18.503,7.3175,10.037,5.4795,9.643,10.469,99.196,54,7.8
81,19.05,7.862,11.405,5.373,10.219,10.326,98.237,54.4,7.43
82,17.232,6.581,9.231,5.259,9.784,13.097,97.332,54.3,7.45
83,18.275,7.06,10.887,6.7235,10.407,12.417,101.942,54.3,7.54
84,21.117,7.312,11.528,6.111,11.299,11.772,100.827,54.6,7.3
85,17.154,7.792,9.9655,5.4065,10.6505,11.8325,101.642,53.7,7.4
86,18.917,7.952,11.728,6.159,10.902,11.114,99.609,54.5,7.46
87,16.947,7.867,9.006,5.598,10.262,11.011,102.053,53.7,7.8
88,18.343,7.5865,10.912,5.9775,10.241,11.5945,100.425,54.8,7.9
89,17.873,6.807,9.898,5.502,10.977,11.048,98.674,55,7.9
90,20.456,6.933,10.808,6.34,11.124,13.638,100,54.9,7.8
91,18.904,7.315,9.991,5.7455,10.574,11.625,100.2,53.7,7.46
92,17.472,6.912,10.451,5.449,10.27,10.355,99.473,54.5,7.8
93,17.555,7.253,10.682,4.71,9.946,10.677,100.431,53.7,7.9
94,21.03,8.772,12.051,5.714,10.594,10.999,101.642,54.8,7.9
95,17.747,7.294,10.079,5.816,9.8435,10.8875,102,55,7.93
96,17.71,6.66,9.872,6.09,11.015,10.796,103.221,55,7.94
97,18.899,8.4085,9.84,4.954,10.0015,10.367,103,55.3,7.8
98,19.489,7.918,10.298,5.527,11.04,10.428,104,55.2,7.83
99,18.416,7.443,9.482,5.367,10.112,12.41,103.8,55.6,7.9
100,19.2935,7.189,11.025,5.4215,11.652,12.558,103.9,55.6,7.93
101,19.202,8.255,11.228,4.602,9.884,9.63,104,54.3,8.01
102,18.171,7.7095,10.7935,5.428,10.472,10.6945,103.5,55.7,8.07
103,17.544,7.682,10.302,5.771,10.456,11.624,103.6,56.2,8.03
104,18.843,6.903,11.027,5.741,10.284,11.538,103,54.5,7.8
105,20.5495,8.0915,10.0855,5.2495,10.4725,10.639,101.992,55,7.9
106,19.57,6.912,9.96,5.215,10.27,10.689,102.35,55.2,8.05
107,17.266,6.628,10.378,6.392,10.418,10.719,103.571,55.6,8.13
108,18.45,7.8785,9.4335,5.1695,10.1545,10.6225,103.35,55.6,8.19
109,18.53,6.601,10.994,5.859,11.069,11.315,104.35,54.3,8.15
110,19.561,8.659,10.6345,5.8415,11.3845,12.3865,104.15,55.7,8.12
111,19.236,6.891,10.387,5.691,10.565,10.373,104.25,56.2,8.32
112,18.169,8.207,10.083,5.302,11.259,11.206,102.4,55.8,8.09
113,17.9185,7.2815,10.554,5.794,10.645,12.154,103.136,56.4,8.2
114,20.588,7.729,10.465,5.088,10.776,10.947,102.492,56.2,8.28
115,17.961,7.94,10.6105,4.914,10.482,11.6415,103.35,55.2,8.28
116,18.227,7.91,12.082,5.81,10.863,11.547,102.342,56.4,8.32
117,17.603,7.929,10.477,6.615,10.51,11.8,102.7,56.2,8.28
118,18.502,7.46,9.7485,5.696,10.61,12.299,103.921,55.8,8.28
119,18.747,N/A,10.248,5.904,10.772,11.288,103.7,56.4,8.32
120,18.196,8.201,9.93,5.228,9.916,12.034,N/A,56.5,8.4
121,18.5255,8.288,10.141,6.219,11.745,11.85,104,56.4,8.32
122,18.434,8.375,9.11,5.196,10.169,10.583,104.2,56.7,8.34
123,17.6535,N/A,11.0795,6.3305,10.3455,N/A,103.891,56.1,8.42
124,19.019,7.017,12.022,5.345,10.843,10.507,103.67,56.6,8.38
125,17.412,9.633,9.45,5.001,10.373,13.466,104.67,56.2,8.35
126,18.208,7.8495,10.366,N/A,10.676,10.8885,104.47,56.8,8.55
127,18.61,6.801,9.599,5.938,9.972,11.866,104.57,56.6,8.32
128,18.499,8.727,10.7195,5.726,10.6685,13.1725,102.72,55.6,8.43
129,17.139,6.976,10.365,5.648,10.075,11.051,103.456,56.8,8.51
130,19.599,7.74,10.266,5.671,10.909,10.276,102.812,56.6,8.51
131,19.273,7.5575,10.6845,5.389,10.7865,10.733,103.67,56.2,8.55
132,15.983,5.849,11.742,5.989,N/A,11.217,N/A,56.8,8.51
133,N/A,7.6675,10.623,5.2895,10.5715,12.9385,103.02,56.9,8.51
134,17.642,7.105,10.23,5.255,9.764,9.926,104.241,56.8,8.55
135,17.154,8.322,9.996,4.664,9.283,9.512,104.02,57.1,8.63
136,18.579,7.238,10.698,5.4375,10.692,11.057,105.02,56.5,8.55
137,19.08,7.468,9.979,5.411,11.17,10.881,104.32,57,8.57
138,16.282,6.428,9.312,5.388,9.772,10.772,104.52,56.6,8.54
139,17.77,7.506,10.2205,5.014,10.189,11.1185,103.98,57.1,8.61
140,20.026,7.468,10.039,5.677,9.683,10.678,104.94,57.2,8.58
141,17.4495,7.1665,10.458,5.8795,9.9135,11.9545,103.09,57.3,8.78
142,19.723,9.118,11.491,5.283,11.811,11.277,103.826,56.6,8.55
143,18.57,8.154,9.515,4.986,10.387,10.948,103.182,56.7,8.66
144,18.1695,7.8645,10.367,5.1875,9.895,10.3165,104.04,57.3,8.74
145,18.29,8.163,9.428,5.26,9.55,10.94,103.032,57.4,8.74
146,18.541,7.546,10.438,5.401,10.805,10.899,103.39,57.5,8.78
147,19.2935,7.367,10.338,6.0685,10.894,11.746,104.611,57.6,8.74
148,18.418,6.474,10.142,6.276,10.682,12.532,104.39,57.4,8.74
149,17.8585,6.989,10.066,6.588,10.472,14.32,105.39,57.5,8.78
150,19.36,8.219,9.304,4.979,10.22,10.296,104.69,57.5,8.86
151,18.139,7.057,9.979,6.725,11.343,13.768,104.89,57.6,8.78
152,18.0925,7.404,10.138,5.8345,10.906,11.948,104.92,57.7,8.8
153,19.418,8.44,9.578,4.969,10.482,13.345,104.38,57,8.77
154,19.219,8.3655,10.1505,5.521,10.618,10.7385,105.34,57.1,8.84
155,15.934,7.023,10.02,4.974,9.472,10.469,103.49,57.7,8.81
156,18.764,6.567,11.184,6.325,10.468,11.017,104.226,57.8,9.01
157,19.6965,7.7945,10.614,5.2905,11.2985,10.881,103.582,57.9,8.78
158,19.213,11.062,11.919,5.171,10.725,10.562,104.44,58,8.89
159,18.86,7.049,9.663,6.278,10.697,13,103.432,57.8,8.97
160,18.675,7.712,10.429,5.3,10.9735,11.4105,103.79,57.9,8.97
161,17.035,7.396,10.787,5.867,10.898,12.107,105.011,57.9,9.01
162,18.2755,7.488,10.4105,5.777,11.868,11.9715,104.79,58,8.97
163,19.185,7.021,10.151,5.148,10.106,10.985,105.79,58.1,8.97
164,18.005,7.445,9.621,4.96,10.169,10.279,105.09,57.4,9.01
165,19.185,7.7235,10.19,5.1665,10.828,11.314,105.29,57.5,9.09
166,22.642,8.355,10.453,5.084,10.692,10.567,105.32,58.1,9.01
167,19.276,7.9965,9.8145,5.827,10.1495,13.1645,104.726,58.1,9.03
168,16.993,7.453,9.489,5.807,10.811,12.919,104.082,58.2,9
169,19.357,8.734,10.888,5.749,9.941,13.454,104.94,58.3,9.07
170,18.864,7.1715,10.6095,5.8205,10.564,12.1605,103.932,58.1,9.04
171,19.034,6.998,10.413,5.424,11.421,11.839,104.29,58.2,9.24
172,17.597,7.373,10.505,5.611,10.5,11.5175,105.511,58.2,9.01
173,19.158,6.911,10.893,5.974,11.01,10.838,105.29,58.3,9.12
174,19.019,6.96,9.759,4.963,10.586,10.844,106.29,58.4,9.2
175,18.449,7.1075,9.855,5.3825,10.5175,11.018,105.59,57.7,9.2
176,17.247,7.418,9.656,5.079,10.203,15.454,105.79,57.8,9.24
177,18.836,6.714,10.818,6.027,11.529,11.413,105.82,58.4,9.2
178,19.7085,7.354,10.6435,5.9325,11.4905,12.598,105.226,58.4,9.2
179,18.544,9.693,9.246,5.413,10.276,10.493,104.582,58.5,9.24
180,18.512,7.8125,10.6655,5.393,10.2735,12.013,105.44,58.6,9.32
181,19.41,6.733,10.884,5.76,10.944,11.123,104.432,58.4,9.24
182,17.273,5.922,11.816,6.143,10.779,13.261,104.79,58.5,9.26
183,17.861,6.631,11.297,5.6705,10.3045,10.631,105.49,58.6,9.23
184,17.427,7.818,10.044,4.59,9.274,9.703,105.69,58.7,9.3
185,20.151,7.6945,9.951,5.118,10.198,12.068,105.72,59.3,9.27
186,17.197,9.431,10.37,5.317,11.6,12.071,105.126,59.3,9.47
187,17.306,8.157,9.354,5.885,10.372,11.114,104.482,59.4,9.24
188,18.7915,6.9385,10.922,5.7335,10.7885,12.1525,105.34,59.5,9.35
189,17.641,9.005,9.506,5.177,11.135,12.893,104.332,59.3,9.43
190,19.543,7.597,10.347,6.11,10.998,11.865,104.69,59.4,9.43
191,18.1035,7.362,10.124,5.775,10.5025,12.1635,105.911,59.5,9.47
192,18.499,7.08,10.572,4.989,9.099,10.254,105.69,59.6,9.43
193,19.31,6.5865,11.2235,6.027,10.636,12.14,106.69,60.2,9.43
194,19.389,7.373,10.122,5.617,9.881,10.81,105.99,60.2,9.47
195,18.487,6.877,10.34,6.021,11.49,11.975,106.19,60.3,9.55
196,18.8135,7.807,9.773,5.093,10.3915,11.2565,106.22,60.4,9.47
197,16.743,9.466,10.297,5.768,11.242,11.682,105.626,60.2,9.49
198,18.515,6.248,9.9275,5.426,10.5315,11.971,104.982,60.3,9.46
199,17.768,7.229,9.772,4.865,9.974,10.07,105.84,60.4,9.53
200,17.835,6.531,9.96,5.187,9.847,9.526,104.832,60.5,9.5
201,20.426,7.05,10.4415,5.5575,10.3535,11.2255,105.19,61.1,9.7
202,18.547,6.562,9.659,6.368,10.49,12.044,105.89,61.1,9.47
203,20.22,12.326,10.439,5.798,12.159,11.931,106.09,61.2,9.58
204,19.8335,7.2055,10.561,5.261,10.6375,11.0285,106.12,61.3,9.66
205,18.885,6.505,10.901,5.742,11.496,11.985,105.526,61.1,9.66
206,17.9995,7.232,10.008,5.7625,10.308,11.028,106.4,61.2,9.7
207,18.301,8.381,10.467,4.772,10.28,10.769,105.74,61.3,9.66
208,19.711,7.845,11.651,5.519,11.078,9.914,107.6,61.4,9.66
209,19.8705,7.491,11.146,5.714,10.8665,11.6355,105.09,62,9.7
210,17.903,6.807,10.382,5.684,10.862,10.917,106.311,62,9.78
211,19.3885,7.601,10.333,6.0305,11.252,11.95,106.09,62.1,9.7
212,18.069,7.661,10.33,6.367,10.382,12.491,107.09,62.2,9.72
213,16.259,6.492,10.871,6.092,9.265,10.912,106.39,62,9.69
214,18.858,7.8065,10.505,5.188,10.7235,11.818,106.59,62.1,9.76
215,17.647,7.862,9.849,5.075,10.412,10.428,106.62,62.2,9.73
216,18.791,6.351,10.811,6.697,10.521,12.014,106.026,62.3,9.93
217,18.911,7.6125,10.24,5.719,10.042,11.6925,105.382,62.9,9.7
218,19.336,7.376,10.203,5.474,10.043,12.85,106.24,62.9,9.81
219,19.151,6.74,11.361,5.621,10.008,11.269,105.232,63,9.89
220,19.32,8.739,10.004,5.565,10.421,11.314,105.59,63.1,9.89
221,18.526,7.6665,10.318,5.7035,11.39,13.226,106.29,62.9,9.93
222,17.635,8.597,11.203,5.24,10.797,10.839,106.49,63,9.89
223,18.816,7.0895,10.803,5.3205,10.816,11.9865,107.2,63.1,9.89
224,18.356,7.654,9.835,5.567,10.765,11.87,102.7,65.1,9.91
225,18.214,7.766,9.786,5.805,10.029,11.855,101.194,53.216,7.27
226,19.311,7.201,10.438,5.921,11.333,11.141,101.994,53.216,7.34
227,17.087,6.878,9.593,5.49,9.876,10.52,94.306,53.223,7.23
228,19.768,7.789,10.543,5.634,11.086,12.503,101.992,53.231,7.34
229,19.4115,7.947,10.9425,5.723,11.793,11.537,101.691,53.231,7.32
230,18.83,8.229,9.676,5.94,11.054,11.905,101.321,53.239,7.4
231,16.693,6.817,10.881,5.9,10.802,11.686,101.303,53.231,7.54
232,19.5175,8.0535,10.713,6.353,10.2815,12.805,99.392,53.239,7.3
233,20.096,8.773,11.773,5.595,10.483,11.365,99.569,53.231,7.4
234,19.249,7.6485,11.1255,5.2185,10.8535,11.339,101.394,53.239,10.04
235,19.416,7.567,10.521,5.302,10.809,11.418,102.194,53.231,10.12
236,18.059,7.693,10.975,5.308,9.574,10.321,94.506,53.223,10.12
237,18.0315,7.42,10.0855,5.7205,9.8835,10.99,102.192,53.223,10.16
238,17.728,7.254,11.282,5.085,9.883,9.859,101.891,53.223,10.12
239,17.095,7.307,10.166,5.781,10.825,12.612,101.521,53.216,10.12
240,19.719,6.868,10.99,6.062,10.125,13.01,101.503,53.223,7.5
241,19.399,8.022,9.288,5.794,10.803,11.92,99.592,53.231,7.57
242,19.268,8.198,10.568,6.2705,10.8585,13.6715,99.769,53.231,7.46
243,16.397,7.206,10.075,5.592,10.511,11.705,101.594,53.231,7.57
244,18.078,7.756,9.093,5.832,11.156,11.211,102.394,53.239,7.55
245,18.806,9.274,10.3175,5.663,11.001,10.5955,94.706,53.239,7.63
